Sr No._x,Reference No (URN),Journal Date,Date of Purchase,Date of Expiry,Name of the Purchaser,Prefix,Bond Number,Denominations_x,Issue Branch Code,Issue Teller,Status,Sr No._y,Date of Encashment ,Name of the Political Party,Account no. of Political Party,Denominations_y,Pay Branch Code,Pay Teller
1,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,TL,11448,1000000,1,5899230,Paid,2766,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,3300196
2,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,TL,11447,1000000,1,5899230,Paid,2767,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,3300196
3,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,TL,11441,1000000,1,5899230,Paid,2768,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,3300196
4,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1113,100000,1,5899230,Paid,2807,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
5,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1118,100000,1,5899230,Paid,2808,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
6,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1112,100000,1,5899230,Paid,2809,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
7,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1115,100000,1,5899230,Paid,2810,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
8,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1119,100000,1,5899230,Paid,2811,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
9,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1110,100000,1,5899230,Paid,2812,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
10,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1111,100000,1,5899230,Paid,2813,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
11,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1106,100000,1,5899230,Paid,2814,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
12,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1114,100000,1,5899230,Paid,2815,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
13,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1117,100000,1,5899230,Paid,2816,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
14,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,TL,11556,1000000,1,5899230,Paid,2249,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,1000000,1,3476510
15,1.20E+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,TL,11555,1000000,1,5899230,Paid,2250,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,1000000,1,3476510
