Sr No._x,Reference No (URN),Journal Date,Date of Purchase,Date of Expiry,Name of the Purchaser,Prefix,Bond Number,Denominations_x,Issue Branch Code,Issue Teller,Status,Sr No._y,Date of Encashment ,Name of the Political Party,Account no. of Political Party,Denominations_y,Pay Branch Code,Pay Teller
1,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,TL,11448,1000000,1,5899230,Paid,2766,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,3300196
2,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,TL,11447,1000000,1,5899230,Paid,2767,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,3300196
3,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,TL,11441,1000000,1,5899230,Paid,2768,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,3300196
4,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1113,100000,1,5899230,Paid,2807,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
5,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1118,100000,1,5899230,Paid,2808,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
6,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1112,100000,1,5899230,Paid,2809,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
7,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1115,100000,1,5899230,Paid,2810,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
8,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1119,100000,1,5899230,Paid,2811,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
9,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1110,100000,1,5899230,Paid,2812,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
10,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1111,100000,1,5899230,Paid,2813,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
11,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1106,100000,1,5899230,Paid,2814,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
12,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1114,100000,1,5899230,Paid,2815,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
13,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1117,100000,1,5899230,Paid,2816,25-Apr-19,BHARATIYA JANATA PARTY,*******8244,100000,691,3300196
14,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,TL,11556,1000000,1,5899230,Paid,2249,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,1000000,1,3476510
15,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,TL,11555,1000000,1,5899230,Paid,2250,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,1000000,1,3476510
16,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1125,100000,1,5899230,Paid,2258,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,100000,1,3476510
17,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1129,100000,1,5899230,Paid,2259,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,100000,1,3476510
18,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1124,100000,1,5899230,Paid,2260,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,100000,1,3476510
19,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1128,100000,1,5899230,Paid,2261,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,100000,1,3476510
20,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1126,100000,1,5899230,Paid,2262,22-Apr-19,ALL INDIA TRINAMOOL CONGRESS,*******0688,100000,1,3476510
21,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ARIHANT ENTERPRISES,TL,11551,1000000,1,5899230,Paid,2015,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,2039265
22,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ARIHANT ENTERPRISES,TL,11554,1000000,1,5899230,Paid,2016,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,2039265
23,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ARIHANT ENTERPRISES,TL,11553,1000000,1,5899230,Paid,2017,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,2039265
24,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ARIHANT ENTERPRISES,TL,11552,1000000,1,5899230,Paid,2018,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,2039265
25,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,CHOUDHARY GARMENTS,TL,12904,1000000,300,4180496,Paid,1998,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,2039265
26,3e+20,12-Apr-19,12-Apr-19,26-Apr-19,CHOUDHARY GARMENTS,TL,12902,1000000,300,4180496,Paid,1999,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,1000000,691,2039265
27,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6297,10000000,1,5899230,Paid,1867,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
28,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6275,10000000,1,5899230,Paid,1868,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
29,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6261,10000000,1,5899230,Paid,1869,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
30,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6278,10000000,1,5899230,Paid,1870,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
31,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6262,10000000,1,5899230,Paid,1871,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
32,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6274,10000000,1,5899230,Paid,1872,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
33,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6257,10000000,1,5899230,Paid,1873,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
34,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6273,10000000,1,5899230,Paid,1874,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
35,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6272,10000000,1,5899230,Paid,1875,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
36,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6280,10000000,1,5899230,Paid,1876,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
37,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6251,10000000,1,5899230,Paid,1877,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
38,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,4597,10000000,1,5899230,Paid,1878,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
39,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6279,10000000,1,5899230,Paid,1879,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
40,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6296,10000000,1,5899230,Paid,1880,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
41,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6256,10000000,1,5899230,Paid,1881,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
42,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6286,10000000,1,5899230,Paid,1882,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
43,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6298,10000000,1,5899230,Paid,1883,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
44,1.2e+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6267,10000000,1,5899230,Paid,1884,20-Apr-19,BHARATIYA JANATA PARTY,*******8244,10000000,691,2039265
